doc_type,source_id,file_name,page_start,page_end,chunk_index,char_start,char_end,text_preview,embedding_preview
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0011,1.FCM內控-總則---114.04.md,,,11,6000,6800,應設有內部稽 核主管，綜理稽核業務，其應具備領導及有效督導稽核工作之能力。內部稽核主管之任免應經董事會通過。已設置獨立董事 者，獨立董事如有反對意見或保留意見者，應於董事會議事錄載明。已依證券交易法規定設置審計委員會者，內部稽核主管之 任免應經審計委員會全體實際在任成員二分之一以上同意，並提董事會決議。未獲審計委員會全體實際在任成員二分之一以上 114年4月,"[0.011341169476509094, -0.014501133002340794, -0.059774208813905716, 0.03562040627002716, 0.012318141758441925, -0.030352357774972916, -0.0023536395747214556, -0.024949314072728157]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0012,1.FCM內控-總則---114.04.md,,,12,6600,7400,員對所見異常事項，應詳加調查、瞭解及持續追蹤，並據實於稽核報告及追蹤報告中揭露。 十七、 內部稽核人員應注意事項： (一) 內部稽核人員應秉持超然獨立之精神，以客觀公正之立場，確實執行職務，並盡專業上應有之注意，除定期向監察人報告稽 核業務外，稽核主管並應列席董事會報告。內部稽核人員執行業務應本誠實信用原則，並不得有下列情事： 1. 明知公司之營運活動、報導,"[-0.004488733597099781, -0.005639185663312674, -0.05194176733493805, 0.017663301900029182, -0.003982235677540302, -0.03061784617602825, 0.006974560208618641, -0.039260875433683395]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0013,1.FCM內控-總則---114.04.md,,,13,7200,8000,核計畫進行，避免不必要之討論與諮詢，儘量減少影響受查單位經辦人員本身之工作，遇有不明瞭之事項，應 於適當時間提出詢問，至徹底瞭解為止。 (四) 勿與受查單位人員爭論制度上之不完備，發現錯誤情事不得當面批評，受查單位人員如有申訴或建議，應細心聆聽，勿與辯 論。 (五) 內部稽核人員應充分瞭解現行相關法令，並熟諳公司現行內部控制各種制度、規章，尚應透徹瞭解受查單,"[0.008000191301107407, 0.009598213247954845, -0.05809716135263443, -0.0011405573459342122, 0.007019655779004097, -0.036771710962057114, 0.01546989381313324, -0.049699053168296814]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0014,1.FCM內控-總則---114.04.md,,,14,7800,8600,公開發行之公司，除應包括前二項之稽核項目外，尚應包括董事會議事運作之管理。股票已上市或在證券商營業處所買賣 之公司，其每年年度稽核計畫，尚應包括薪資報酬委員會運作之管理。 公司已設置審計委員會者，年度稽核計畫，尚應包括審計委員會議事運作之管理。 公司屬洗錢防制法所稱之金融機構者，年度稽核計畫應包括防制洗錢及打擊資恐及其相關法令遵循之管理。 公司年度稽核計畫應,"[-0.007492242846637964, -0.00012080384476576, -0.03832932189106941, 0.014726352877914906, 0.009441729635000229, -0.011717483401298523, -0.002801748225465417, -0.03221558779478073]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0015,1.FCM內控-總則---114.04.md,,,15,8400,9200,查核日之前一日止，且期間之長短應配合查核作業週期而不宜任意變更。 公司內部稽核人員應與受查單位就年度稽核項目查核結果充分溝通，對於評估所發現之內部控制制度缺失及異常事項(包括主管 114年4月 0 - 1 4 臺灣期貨交易所  ## Page 15  期貨商內部控制制度 總則 機關或自律機構檢查所發現、內部稽核作業所發現、內部控制制度聲明書所列、自行評估及會,"[-0.008640225976705551, 0.010201491415500641, -0.036201875656843185, -0.0046555884182453156, -0.011239508166909218, -0.029605649411678314, -0.007957611232995987, -0.032074492424726486]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0016,1.FCM內控-總則---114.04.md,,,16,9000,9800,報告事項應包括檢查溝通會議內容、主要檢查缺失、遭主管機 關調降評等、主管機關要求採行之重大缺失改善方案或可能採行之處分措施。 分公司稽核報告應至少每月一次由總公司稽核主管彙整陳核最高主管。 公司內部稽核報告如採無紙化之電子方式製作，應依期交所106.12.27台期輔字第10604011600號函相關規定辦理。 二十、 分支機構不設專職內部稽核人員規範： 公司,"[0.03163957968354225, -0.017415393143892288, -0.053323958069086075, 0.005072698928415775, 0.006685811094939709, -0.007625922095030546, 0.007058190181851387, -0.0345008559525013]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0017,1.FCM內控-總則---114.04.md,,,17,9600,10400,：分支機構辦理自行查核作業，其查核項目、頻率及格式均比照上述十九內部稽核報告(含查核明細表、 查核工作底稿及相關資料等)相關規範內容辦理。 (四) 採專人辦理分支機構自行查核作業者，應加強分支機構之督導查核，方式如下： 1. 內部稽核作業(自行查核作業)之督導查核：由總公司指派內部稽核人員至少每半年對每家分支機構至少依「查核分支機構 內部稽核作業評核表」項目,"[0.027732321992516518, -0.022808725014328957, -0.03867931663990021, 0.009111141785979271, -0.008222252130508423, -0.019276490435004234, 0.012318708002567291, -0.03294757381081581]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0018,1.FCM內控-總則---114.04.md,,,18,10200,11000,括查核日前完 整六個月，專案查核項目應參酌下列事項據以規劃查核重點並設計查核項目，且留存評估紀錄： a.內部業務性質、作業流程等，以風險為基礎，辨識公司高風險項目。 b.參考近期同業、自身重大違失項目或主管機關之年度檢查重點。 c.針對新開辦業務，瞭解各分支機構之作業落實程度及遵法情形。 d.其他重要事項。 3. 公司並應視管理需要及分支機構實際狀況，每年提,"[0.025789372622966766, 0.0018171416595578194, -0.013962777331471443, 0.0010656259255483747, 0.007750311866402626, -0.013032766059041023, -0.018473593518137932, -0.02019229158759117]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0019,1.FCM內控-總則---114.04.md,,,19,10800,11600,意查核。 6. 公司應針對全體分公司經理人及相關從業人員加強宣導內控落實之責任及法令遵循之義務，以強調遵法精神，並將相關宣 導資料建檔備查。 114年4月 0 - 1 7 臺灣期貨交易所  ## Page 18  期貨商內部控制制度 總則 7. 公司應就分公司執行自行查核作業之良窳，列入分公司經理人、督導主管及自行查核人員年度績效考核項目，並留存紀錄， 若對,"[-0.012234095484018326, 0.012792563997209072, -0.03254535421729088, 0.007647146936506033, 0.0010419224854558706, -0.02906998246908188, -0.0016620721435174346, -0.00016647686425130814]"
fixed_chunk_800_200,1.FCM內控-總則---114.04::chunk_0020,1.FCM內控-總則---114.04.md,,,20,11400,12200,目的，在落實自我監督之機制、及時因應環境改變，以調整內部控制制度之設計，並提昇內部稽核 部門的稽核品質及效率；其評估之範圍，應涵蓋各類內部控制制度之設計及執行。 執行前項評估，應於內部控制制度訂定自行評估作業之程序及方法。 公司應注意相關法令規章遵循事項並依風險評估結果，決定前項自行評估作業程序及方法，並至少包含下列項目： 1. 確定應進行測試之控制作業。 ,"[-0.0011459984816610813, 0.01989947445690632, -0.025155942887067795, 0.027228185907006264, 0.01089074183255434, -0.02700701728463173, 0.002027523471042514, -0.00857258029282093]"
